,Time,Heart Rate
6657,13:35:01,86
6658,13:35:06,89
6659,13:35:11,91
6660,13:35:16,92
6661,13:35:31,93
6662,13:35:36,94
6663,13:35:46,95
6664,13:35:56,93
6665,13:36:01,93
6666,13:36:11,92
6667,13:36:16,91
6668,13:36:21,89
6669,13:36:31,87
6670,13:36:36,84
6671,13:36:41,85
6672,13:36:46,84
6673,13:36:51,87
6674,13:36:56,88
6675,13:37:06,90
6676,13:37:21,90
6677,13:37:26,87
6678,13:37:31,84
6679,13:37:46,84
6680,13:37:51,85
6681,13:37:56,84
6682,13:38:01,82
6683,13:38:11,83
6684,13:38:16,82
6685,13:38:31,82
6686,13:38:36,84
6687,13:38:41,83
6688,13:38:46,81
6689,13:38:51,82
6690,13:38:56,83
6691,13:39:02,85
6692,13:39:07,84
6693,13:39:12,82
6694,13:39:17,81
6695,13:39:22,82
6696,13:39:27,83
6697,13:39:37,81
6698,13:39:42,79
6699,13:39:47,80
6700,13:39:57,81
6701,13:40:02,83
6702,13:40:17,83
6703,13:40:22,82
6704,13:40:37,81
6705,13:40:47,82
6706,13:40:52,83
6707,13:40:57,81
6708,13:41:02,80
6709,13:41:07,79
6710,13:41:12,78
6711,13:41:27,78
6712,13:41:32,79
6713,13:41:37,81
6714,13:41:42,83
6715,13:41:47,84
6716,13:41:52,83
6717,13:42:07,83
6718,13:42:12,83
6719,13:42:17,84
6720,13:42:22,82
6721,13:42:32,83
6722,13:42:37,84
6723,13:42:52,84
6724,13:42:57,81
6725,13:43:02,82
6726,13:43:17,82
6727,13:43:22,83
6728,13:43:27,84
6729,13:43:37,85
6730,13:43:47,86
6731,13:44:02,86
6732,13:44:07,87
6733,13:44:12,89
6734,13:44:17,90
6735,13:44:22,94
6736,13:44:27,99
6737,13:44:37,98
6738,13:44:42,99
6739,13:44:47,102
6740,13:44:52,105
6741,13:44:57,107
6742,13:45:02,109
6743,13:45:11,114
6744,13:45:16,116
6745,13:45:21,116
6746,13:45:26,115
6747,13:45:31,113
6748,13:45:46,112
6749,13:45:51,111
6750,13:45:56,117
6751,13:46:01,123
6752,13:46:16,122
6753,13:46:21,123
6754,13:46:26,118
6755,13:46:31,115
6756,13:46:36,114
6757,13:46:41,112
6758,13:46:46,110
6759,13:46:51,107
6760,13:46:56,106
6761,13:47:01,107
6762,13:47:06,108
6763,13:47:11,105
6764,13:47:16,101
6765,13:47:21,106
6766,13:47:26,105
6767,13:47:31,98
6768,13:47:41,97
6769,13:47:46,95
6770,13:47:51,92
6771,13:47:56,93
6772,13:48:01,92
6773,13:48:06,91
6774,13:48:11,88
6775,13:48:16,84
6776,13:48:21,82
6777,13:48:26,81
6778,13:48:36,82
6779,13:48:41,87
6780,13:48:46,90
6781,13:49:01,90
6782,13:49:06,89
6783,13:49:11,88
6784,13:49:16,87
6785,13:49:21,86
6786,13:49:26,85
6787,13:49:31,84
6788,13:49:36,85
6789,13:49:51,85
6790,13:50:06,84
6791,13:50:11,86
6792,13:50:21,85
6793,13:50:36,85
6794,13:50:42,86
6795,13:50:47,89
6796,13:50:57,86
6797,13:51:02,83
6798,13:51:07,82
6799,13:51:22,82
6800,13:51:32,83
6801,13:51:42,84
6802,13:51:57,85
6803,13:52:02,87
6804,13:52:07,89
6805,13:52:12,90
6806,13:52:27,89
6807,13:52:32,87
6808,13:52:42,85
6809,13:52:47,83
6810,13:52:52,84
6811,13:53:02,85
6812,13:53:12,81
6813,13:53:17,79
6814,13:53:32,79
6815,13:53:47,79
6816,13:53:57,78
6817,13:54:02,77
6818,13:54:17,77
6819,13:54:22,76
6820,13:54:27,74
6821,13:54:32,74
6822,13:54:42,75
6823,13:54:57,76
6824,13:55:12,75
6825,13:55:27,75
6826,13:55:37,76
6827,13:55:47,77
6828,13:56:02,77
6829,13:56:07,78
6830,13:56:12,79
6831,13:56:17,80
6832,13:56:22,81
6833,13:56:27,84
6834,13:56:32,87
6835,13:56:37,90
6836,13:56:42,92
6837,13:56:47,94
6838,13:56:52,99
6839,13:56:57,102
6840,13:57:07,101
6841,13:57:12,103
6842,13:57:17,102
6843,13:57:22,100
6844,13:57:27,98
6845,13:57:42,100
6846,13:57:47,104
6847,13:57:52,110
6848,13:57:57,111
6849,13:58:02,108
6850,13:58:07,102
6851,13:58:12,98
6852,13:58:27,98
6853,13:58:42,99
6854,13:58:52,100
6855,13:58:57,101
6856,13:59:02,97
6857,13:59:07,94
6858,13:59:12,92
6859,13:59:17,90
6860,13:59:22,88
6861,13:59:27,89
6862,13:59:37,91
6863,13:59:42,94
6864,13:59:52,95
6865,13:59:57,94
6866,14:00:07,95
6867,14:00:12,94
6868,14:00:17,95
6869,14:00:32,96
6870,14:00:47,93
6871,14:00:52,91
6872,14:01:02,90
6873,14:01:07,89
6874,14:01:12,88
6875,14:01:17,81
6876,14:01:22,73
6877,14:01:27,72
6878,14:01:32,71
6879,14:01:42,69
6880,14:01:47,67
6881,14:01:52,68
6882,14:01:57,70
6883,14:02:02,71
6884,14:02:07,72
6885,14:02:12,73
6886,14:02:27,73
6887,14:02:32,72
6888,14:02:37,74
6889,14:02:42,76
6890,14:02:52,75
6891,14:02:57,74
6892,14:03:12,74
6893,14:03:17,73
6894,14:03:22,73
6895,14:03:37,73
6896,14:03:47,71
6897,14:03:52,70
6898,14:04:07,70
6899,14:04:12,71
6900,14:04:22,70
6901,14:04:27,71
6902,14:04:32,72
6903,14:04:42,71
6904,14:04:47,75
6905,14:04:52,77
6906,14:05:02,76
6907,14:05:12,77
6908,14:05:27,77
6909,14:05:37,76
6910,14:05:47,75
6911,14:06:02,76
6912,14:06:07,77
6913,14:06:22,77
6914,14:06:27,71
6915,14:06:32,69
6916,14:06:47,76
6917,14:06:52,83
6918,14:06:57,79
6919,14:07:12,79
6920,14:07:17,80
6921,14:07:22,81
6922,14:07:37,81
6923,14:07:42,90
6924,14:07:47,88
6925,14:08:02,88
6926,14:08:08,88
6927,14:08:13,77
6928,14:08:18,70
6929,14:08:33,70
6930,14:08:43,77
6931,14:08:48,82
6932,14:08:53,78
6933,14:08:58,77
6934,14:09:03,78
6935,14:09:08,80
6936,14:09:13,83
6937,14:09:18,82
6938,14:09:23,81
6939,14:09:28,79
6940,14:09:33,78
6941,14:09:38,77
6942,14:09:53,77
6943,14:09:58,75
6944,14:10:13,75
6945,14:10:28,75
6946,14:10:43,77
6947,14:10:48,76
6948,14:11:03,76
6949,14:11:08,75
6950,14:11:17,74
6951,14:11:27,73
6952,14:11:42,71
6953,14:11:47,70
6954,14:11:57,72
6955,14:12:02,73
6956,14:12:07,72
6957,14:12:12,73
6958,14:12:17,74
6959,14:12:22,79
6960,14:12:27,83
6961,14:12:32,82
6962,14:12:37,81
6963,14:12:42,82
6964,14:12:47,81
6965,14:12:52,82
6966,14:12:57,79
6967,14:13:02,78
6968,14:13:12,77
6969,14:13:22,81
6970,14:13:27,82
6971,14:13:32,81
6972,14:13:37,80
6973,14:13:47,81
6974,14:13:52,82
6975,14:14:02,81
6976,14:14:07,80
6977,14:14:13,79
6978,14:14:23,80
6979,14:14:28,81
6980,14:14:33,82
6981,14:14:38,80
6982,14:14:43,79
6983,14:14:48,78
6984,14:14:53,77
6985,14:14:58,78
6986,14:15:03,79
6987,14:15:18,80
6988,14:15:33,80
6989,14:15:48,80
6990,14:15:58,78
6991,14:16:08,79
6992,14:16:13,76
6993,14:16:18,73
6994,14:16:28,72
6995,14:16:33,71
6996,14:16:48,70
6997,14:16:53,69
6998,14:16:58,72
6999,14:17:03,77
7000,14:17:18,77
7001,14:17:23,76
7002,14:17:33,75
7003,14:17:48,75
7004,14:17:53,75
7005,14:17:58,76
7006,14:18:13,76
7007,14:18:18,77
7008,14:18:33,78
7009,14:18:43,76
7010,14:18:48,73
7011,14:18:58,75
7012,14:19:03,77
7013,14:19:08,76
7014,14:19:13,75
7015,14:19:18,74
7016,14:19:28,83
7017,14:19:33,99
7018,14:19:38,98
7019,14:19:53,98
7020,14:19:58,97
7021,14:20:03,97
7022,14:20:08,95
7023,14:20:13,93
7024,14:20:18,92
7025,14:20:28,91
7026,14:20:43,91
7027,14:20:48,89
7028,14:20:53,81
7029,14:20:58,79
7030,14:21:13,78
7031,14:21:18,77
7032,14:21:23,78
7033,14:21:38,78
7034,14:21:48,78
7035,14:21:53,79
7036,14:21:58,80
7037,14:22:13,82
7038,14:22:23,81
7039,14:22:38,81
7040,14:22:43,82
7041,14:22:53,81
7042,14:22:58,80
7043,14:23:13,78
7044,14:23:18,70
7045,14:23:33,70
7046,14:23:48,70
7047,14:23:53,71
7048,14:23:58,80
7049,14:24:03,80
7050,14:24:13,81
7051,14:24:23,80
7052,14:24:33,79
7053,14:24:48,78
7054,14:24:53,78
7055,14:24:58,77
7056,14:25:03,78
7057,14:25:18,78
7058,14:25:33,78
7059,14:25:38,80
7060,14:25:43,81
7061,14:25:48,82
7062,14:25:53,81
7063,14:25:58,80
7064,14:26:03,79
7065,14:26:08,78
7066,14:26:13,80
7067,14:26:28,80
7068,14:26:33,82
7069,14:26:38,90
7070,14:26:43,92
7071,14:26:48,90
7072,14:27:03,90
7073,14:27:13,91
7074,14:27:18,93
7075,14:27:23,94
7076,14:27:28,89
7077,14:27:33,84
7078,14:27:38,78
7079,14:27:44,77
7080,14:27:59,78
7081,14:28:09,77
7082,14:28:24,77
7083,14:28:29,75
7084,14:28:34,73
7085,14:28:44,72
7086,14:28:49,70
7087,14:28:59,71
7088,14:29:14,70
7089,14:29:19,68
7090,14:29:29,67
7091,14:29:34,68
7092,14:29:39,69
7093,14:29:49,70
7094,14:29:54,71
7095,14:30:04,70
7096,14:30:14,71
7097,14:30:29,71
7098,14:30:34,70
7099,14:30:39,69
7100,14:30:44,66
7101,14:30:49,65
7102,14:30:59,66
7103,14:31:04,65
7104,14:31:14,67
7105,14:31:29,66
7106,14:31:34,66
7107,14:31:39,67
7108,14:31:44,68
7109,14:31:49,69
7110,14:31:54,71
7111,14:32:09,72
7112,14:32:24,73
7113,14:32:34,74
7114,14:32:49,74
7115,14:32:54,73
7116,14:33:09,73
7117,14:33:14,79
7118,14:33:19,77
7119,14:33:34,77
7120,14:33:44,78
7121,14:33:54,77
7122,14:34:09,77
7123,14:34:19,78
7124,14:34:24,79
7125,14:34:39,79
7126,14:34:44,76
7127,14:34:49,76
7128,14:34:59,75
7129,14:35:14,75
7130,14:35:29,74
7131,14:35:30,74
7132,14:35:35,75
7133,14:35:40,77
7134,14:35:45,80
7135,14:36:00,80
7136,14:36:10,81
7137,14:36:15,82
7138,14:36:25,83
7139,14:36:30,84
7140,14:36:35,82
7141,14:36:40,80
7142,14:36:45,79
7143,14:36:50,76
7144,14:36:55,75
7145,14:37:10,75
7146,14:37:25,75
7147,14:37:30,74
7148,14:37:40,78
7149,14:37:45,74
7150,14:37:50,71
7151,14:37:55,72
7152,14:38:05,73
7153,14:38:20,73
7154,14:38:30,73
7155,14:38:45,74
7156,14:38:55,75
7157,14:39:00,73
7158,14:39:05,71
7159,14:39:10,70
7160,14:39:15,70
7161,14:39:30,71
7162,14:39:35,72
7163,14:39:40,73
7164,14:39:55,73
7165,14:40:05,72
7166,14:40:15,71
7167,14:40:30,70
7168,14:40:35,69
7169,14:40:40,69
7170,14:40:45,70
7171,14:40:50,69
7172,14:40:55,70
7173,14:41:00,71
7174,14:41:05,76
7175,14:41:10,77
7176,14:41:15,79
7177,14:41:20,93
7178,14:41:25,92
7179,14:41:30,91
7180,14:41:45,91
7181,14:41:50,91
7182,14:42:05,91
7183,14:42:09,91
7184,14:42:14,90
7185,14:42:24,89
7186,14:42:29,88
7187,14:42:44,87
7188,14:42:59,87
7189,14:43:04,86
7190,14:43:09,85
7191,14:43:24,85
7192,14:43:34,84
7193,14:43:39,84
7194,14:43:44,83
7195,14:43:54,98
7196,14:43:59,105
7197,14:44:04,104
7198,14:44:09,96
7199,14:44:19,95
7200,14:44:34,95
7201,14:44:49,95
7202,14:44:54,90
7203,14:44:59,85
7204,14:45:04,87
7205,14:45:09,88
7206,14:45:19,92
7207,14:45:24,94
7208,14:45:29,94
7209,14:45:39,96
7210,14:45:44,97
7211,14:45:49,97
7212,14:45:54,98
7213,14:46:09,98
7214,14:46:14,94
7215,14:46:19,88
7216,14:46:24,85
7217,14:46:29,84
7218,14:46:34,85
7219,14:46:49,85
7220,14:46:54,87
7221,14:47:09,87
7222,14:47:14,89
7223,14:47:19,90
7224,14:47:24,91
7225,14:47:29,90
7226,14:47:39,88
7227,14:47:44,82
7228,14:47:49,78
7229,14:48:04,78
7230,14:48:09,78
7231,14:48:14,78
7232,14:48:20,78
7233,14:48:35,79
7234,14:48:40,78
7235,14:48:50,79
7236,14:48:55,80
7237,14:49:05,79
7238,14:49:10,84
7239,14:49:15,85
7240,14:49:20,84
7241,14:49:30,85
7242,14:49:35,84
7243,14:49:40,85
7244,14:49:45,86
7245,14:49:55,87
7246,14:50:05,88
7247,14:50:10,87
7248,14:50:25,86
7249,14:50:35,88
7250,14:50:40,90
7251,14:50:45,89
7252,14:50:50,88
7253,14:50:55,87
7254,14:51:00,85
7255,14:51:05,83
7256,14:51:15,82
7257,14:51:20,80
7258,14:51:25,78
7259,14:51:30,76
7260,14:51:40,77
7261,14:51:50,76
7262,14:51:55,73
7263,14:52:00,72
7264,14:52:10,74
7265,14:52:15,76
7266,14:52:25,79
7267,14:52:30,83
7268,14:52:35,81
7269,14:52:40,78
7270,14:52:45,75
7271,14:52:50,74
7272,14:53:00,75
7273,14:53:05,76
7274,14:53:15,80
7275,14:53:20,87
7276,14:53:25,88
7277,14:53:35,86
7278,14:53:45,91
7279,14:53:50,94
7280,14:53:55,95
7281,14:54:05,94
7282,14:54:10,95
7283,14:54:15,94
7284,14:54:20,92
7285,14:54:25,90
7286,14:54:30,90
7287,14:54:35,93
7288,14:54:45,83
7289,14:54:50,84
7290,14:54:55,78
7291,14:55:00,77
7292,14:55:15,79
7293,14:55:20,80
7294,14:55:35,79
7295,14:55:50,78
7296,14:55:55,75
7297,14:56:00,72
7298,14:56:15,73
7299,14:56:25,72
7300,14:56:35,73
7301,14:56:40,75
7302,14:56:45,76
7303,14:56:50,77
7304,14:56:55,76
7305,14:57:00,79
7306,14:57:05,81
7307,14:57:20,81
7308,14:57:30,80
7309,14:57:40,79
7310,14:57:50,78
7311,14:57:55,81
7312,14:58:00,79
7313,14:58:05,76
7314,14:58:10,75
7315,14:58:25,75
7316,14:58:30,73
7317,14:58:35,71
7318,14:58:50,71
7319,14:59:05,71
7320,14:59:20,71
7321,14:59:25,72
7322,14:59:30,73
7323,14:59:35,74
7324,14:59:40,85
7325,14:59:45,89
7326,14:59:55,81
7327,15:00:00,72
7328,15:00:05,72
7329,15:00:10,73
7330,15:00:15,74
7331,15:00:20,75
7332,15:00:25,76
7333,15:00:30,78
7334,15:00:40,77
7335,15:00:50,79
7336,15:00:55,81
7337,15:01:01,82
7338,15:01:11,84
7339,15:01:16,77
7340,15:01:26,83
7341,15:01:31,87
7342,15:01:36,88
7343,15:01:51,89
7344,15:02:01,88
7345,15:02:11,89
7346,15:02:21,88
7347,15:02:36,88
7348,15:02:41,88
7349,15:02:46,84
7350,15:02:56,80
7351,15:03:01,76
7352,15:03:06,71
7353,15:03:11,71
7354,15:03:16,72
7355,15:03:31,72
7356,15:03:36,71
7357,15:03:51,71
7358,15:03:56,72
7359,15:04:01,78
7360,15:04:06,80
7361,15:04:12,82
7362,15:04:17,76
7363,15:04:22,75
7364,15:04:27,74
7365,15:04:37,75
7366,15:04:47,76
7367,15:05:02,76
7368,15:05:17,75
7369,15:05:22,72
7370,15:05:27,69
7371,15:05:37,69
7372,15:05:52,70
7373,15:06:02,71
7374,15:06:07,72
7375,15:06:17,73
7376,15:06:32,73
7377,15:06:47,73
7378,15:06:52,73
7379,15:07:02,74
7380,15:07:17,75
7381,15:07:22,76
7382,15:07:27,80
7383,15:07:32,95
7384,15:07:37,97
7385,15:07:42,99
7386,15:07:47,98
7387,15:07:52,97
7388,15:08:07,97
7389,15:08:17,96
7390,15:08:22,94
7391,15:08:27,92
7392,15:08:37,93
7393,15:08:42,85
7394,15:08:47,77
7395,15:08:52,72
7396,15:08:57,70
7397,15:09:07,71
7398,15:09:17,72
7399,15:09:22,73
7400,15:09:32,74
7401,15:09:37,76
7402,15:09:42,79
7403,15:09:47,80
7404,15:09:52,78
7405,15:10:07,78
7406,15:10:22,78
7407,15:10:32,79
7408,15:10:37,80
7409,15:10:42,75
7410,15:10:47,76
7411,15:10:52,77
7412,15:10:57,78
7413,15:11:03,77
7414,15:11:08,76
7415,15:11:13,77
7416,15:11:18,81
7417,15:11:28,66
7418,15:11:43,66
7419,15:11:48,67
7420,15:11:58,68
7421,15:12:13,70
7422,15:12:18,71
7423,15:12:23,72
7424,15:12:28,77
7425,15:12:33,78
7426,15:12:38,79
